state,policy,tax_amount,unit,year,note,source
Ohio,Combined state and local sales taxes,0.072,ad valorem rate,2018,,Tax Foundation
Oklahoma,Combined state and local sales taxes,0.089,ad valorem rate,2018,,Tax Foundation
Oregon,Combined state and local sales taxes,0.000,ad valorem rate,2018,,Tax Foundation
Pennsylvania,Combined state and local sales taxes,0.063,ad valorem rate,2018,,Tax Foundation
Rhode Island,Combined state and local sales taxes,0.070,ad valorem rate,2018,,Tax Foundation
South Carolina,Combined state and local sales taxes,0.074,ad valorem rate,2018,,Tax Foundation
South Dakota,Combined state and local sales taxes,0.064,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
Tennessee,Combined state and local sales taxes,0.095,ad valorem rate,2018,,Tax Foundation
Texas,Combined state and local sales taxes,0.082,ad valorem rate,2018,,Tax Foundation
Utah,Combined state and local sales taxes,0.068,ad valorem rate,2018,"Three states levy mandatory, statewide, local add-on sales taxes at the state level: California (1.25%), Utah (1.25%), Virginia (1%), we include these in their state sales tax.",Tax Foundation
Vermont,Combined state and local sales taxes,0.062,ad valorem rate,2018,,Tax Foundation
Virginia,Combined state and local sales taxes,0.056,ad valorem rate,2018,"Three states levy mandatory, statewide, local add-on sales taxes at the state level: California (1.25%), Utah (1.25%), Virginia (1%), we include these in their state sales tax.",Tax Foundation
Washington,Combined state and local sales taxes,0.092,ad valorem rate,2018,,Tax Foundation
West Virginia,Combined state and local sales taxes,0.064,ad valorem rate,2018,,Tax Foundation
Wisconsin,Combined state and local sales taxes,0.054,ad valorem rate,2018,,Tax Foundation
Wyoming,Combined state and local sales taxes,0.055,ad valorem rate,2018,,Tax Foundation
D.C.,Combined state and local sales taxes,0.058,ad valorem rate,2018,,Tax Foundation
Alabama,Maximum local sales tax,0.075,ad valorem rate,2018,,Tax Foundation
Alaska,Maximum local sales tax,0.075,ad valorem rate,2018,,Tax Foundation
Arizona,Maximum local sales tax,0.053,ad valorem rate,2018,,Tax Foundation
Arkansas,Maximum local sales tax,0.051,ad valorem rate,2018,,Tax Foundation
California,Maximum local sales tax,0.025,ad valorem rate,2018,"Three states levy mandatory, statewide, local add-on sales taxes at the state level: California (1.25%), Utah (1.25%), Virginia (1%), we include these in their state sales tax.",Tax Foundation
Colorado,Maximum local sales tax,0.083,ad valorem rate,2018,,Tax Foundation
Connecticut,Maximum local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Delaware,Maximum local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Florida,Maximum local sales tax,0.020,ad valorem rate,2018,,Tax Foundation
Georgia,Maximum local sales tax,0.049,ad valorem rate,2018,,Tax Foundation
Hawaii,Maximum local sales tax,0.005,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
Idaho,Maximum local sales tax,0.030,ad valorem rate,2018,,Tax Foundation
Illinois,Maximum local sales tax,0.048,ad valorem rate,2018,,Tax Foundation
Indiana,Maximum local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Iowa,Maximum local sales tax,0.010,ad valorem rate,2018,,Tax Foundation
Kansas,Maximum local sales tax,0.040,ad valorem rate,2018,,Tax Foundation
Kentucky,Maximum local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Louisiana,Maximum local sales tax,0.070,ad valorem rate,2018,,Tax Foundation
Maine,Maximum local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Maryland,Maximum local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Massachusetts,Maximum local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Michigan,Maximum local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Minnesota,Maximum local sales tax,0.020,ad valorem rate,2018,,Tax Foundation
Mississippi,Maximum local sales tax,0.010,ad valorem rate,2018,,Tax Foundation
Missouri,Maximum local sales tax,0.054,ad valorem rate,2018,,Tax Foundation
Montana,Maximum local sales tax,0.000,ad valorem rate,2018,Special taxes in local resort areas are not counted here.,Tax Foundation
Nebraska,Maximum local sales tax,0.020,ad valorem rate,2018,,Tax Foundation
Nevada,Maximum local sales tax,0.014,ad valorem rate,2018,,Tax Foundation
New Hampshire,Maximum local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
New Jersey,Maximum local sales tax,0.033,ad valorem rate,2018,Salem County is not subject to the statewide sales tax rate and collects a local rate of 3.3125%. New Jersey’s average local score is represented as a negative.,Tax Foundation
New Mexico,Maximum local sales tax,0.041,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
New York,Maximum local sales tax,0.049,ad valorem rate,2018,,Tax Foundation
North Carolina,Maximum local sales tax,0.028,ad valorem rate,2018,,Tax Foundation
North Dakota,Maximum local sales tax,0.035,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
Ohio,Maximum local sales tax,0.023,ad valorem rate,2018,,Tax Foundation
Oklahoma,Maximum local sales tax,0.065,ad valorem rate,2018,,Tax Foundation
Oregon,Maximum local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Pennsylvania,Maximum local sales tax,0.020,ad valorem rate,2018,,Tax Foundation
Rhode Island,Maximum local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
South Carolina,Maximum local sales tax,0.030,ad valorem rate,2018,,Tax Foundation
South Dakota,Maximum local sales tax,0.045,ad valorem rate,2018,"The sales taxes in Hawaii, New Mexico, North Dakota, and South Dakota have broad bases that include many services.",Tax Foundation
Tennessee,Maximum local sales tax,0.028,ad valorem rate,2018,,Tax Foundation
Texas,Maximum local sales tax,0.020,ad valorem rate,2018,,Tax Foundation
Utah,Maximum local sales tax,0.027,ad valorem rate,2018,"Three states levy mandatory, statewide, local add-on sales taxes at the state level: California (1.25%), Utah (1.25%), Virginia (1%), we include these in their state sales tax.",Tax Foundation
Vermont,Maximum local sales tax,0.010,ad valorem rate,2018,,Tax Foundation
Virginia,Maximum local sales tax,0.007,ad valorem rate,2018,"Three states levy mandatory, statewide, local add-on sales taxes at the state level: California (1.25%), Utah (1.25%), Virginia (1%), we include these in their state sales tax.",Tax Foundation
Washington,Maximum local sales tax,0.039,ad valorem rate,2018,,Tax Foundation
West Virginia,Maximum local sales tax,0.010,ad valorem rate,2018,,Tax Foundation
Wisconsin,Maximum local sales tax,0.018,ad valorem rate,2018,,Tax Foundation
Wyoming,Maximum local sales tax,0.020,ad valorem rate,2018,,Tax Foundation
D.C.,Maximum local sales tax,0.000,ad valorem rate,2018,,Tax Foundation
Alabama,State cigarette excise tax,0.675,$ per 20 pack,2018,,Tax Foundation
Alaska,State cigarette excise tax,2.000,$ per 20 pack,2018,,Tax Foundation
Arizona,State cigarette excise tax,2.000,$ per 20 pack,2018,,Tax Foundation
Arkansas,State cigarette excise tax,1.150,$ per 20 pack,2018,,Tax Foundation
California,State cigarette excise tax,2.870,$ per 20 pack,2018,,Tax Foundation
Colorado,State cigarette excise tax,0.840,$ per 20 pack,2018,,Tax Foundation
Connecticut,State cigarette excise tax,4.350,$ per 20 pack,2018,,Tax Foundation
Delaware,State cigarette excise tax,2.100,$ per 20 pack,2018,,Tax Foundation
Florida,State cigarette excise tax,1.339,$ per 20 pack,2018,,Tax Foundation
Georgia,State cigarette excise tax,0.370,$ per 20 pack,2018,,Tax Foundation
Hawaii,State cigarette excise tax,3.200,$ per 20 pack,2018,,Tax Foundation
Idaho,State cigarette excise tax,0.570,$ per 20 pack,2018,,Tax Foundation
Illinois,State cigarette excise tax,1.980,$ per 20 pack,2018,,Tax Foundation
Indiana,State cigarette excise tax,0.995,$ per 20 pack,2018,,Tax Foundation
Iowa,State cigarette excise tax,1.360,$ per 20 pack,2018,,Tax Foundation
Kansas,State cigarette excise tax,1.290,$ per 20 pack,2018,,Tax Foundation
Kentucky,State cigarette excise tax,0.600,$ per 20 pack,2018,,Tax Foundation
Louisiana,State cigarette excise tax,1.080,$ per 20 pack,2018,,Tax Foundation
Maine,State cigarette excise tax,2.000,$ per 20 pack,2018,,Tax Foundation
Maryland,State cigarette excise tax,2.000,$ per 20 pack,2018,,Tax Foundation
Massachusetts,State cigarette excise tax,3.510,$ per 20 pack,2018,,Tax Foundation
Michigan,State cigarette excise tax,2.000,$ per 20 pack,2018,,Tax Foundation
Minnesota,State cigarette excise tax,3.040,$ per 20 pack,2018,,Tax Foundation
Mississippi,State cigarette excise tax,0.680,$ per 20 pack,2018,,Tax Foundation
Missouri,State cigarette excise tax,0.170,$ per 20 pack,2018,,Tax Foundation
Montana,State cigarette excise tax,1.700,$ per 20 pack,2018,,Tax Foundation
Nebraska,State cigarette excise tax,0.640,$ per 20 pack,2018,,Tax Foundation
Nevada,State cigarette excise tax,1.800,$ per 20 pack,2018,,Tax Foundation
New Hampshire,State cigarette excise tax,1.780,$ per 20 pack,2018,,Tax Foundation
New Jersey,State cigarette excise tax,2.700,$ per 20 pack,2018,,Tax Foundation
New Mexico,State cigarette excise tax,1.660,$ per 20 pack,2018,,Tax Foundation
New York,State cigarette excise tax,4.350,$ per 20 pack,2018,,Tax Foundation
North Carolina,State cigarette excise tax,0.450,$ per 20 pack,2018,,Tax Foundation
North Dakota,State cigarette excise tax,0.440,$ per 20 pack,2018,,Tax Foundation
Ohio,State cigarette excise tax,1.600,$ per 20 pack,2018,,Tax Foundation
Oklahoma,State cigarette excise tax,1.030,$ per 20 pack,2018,,Tax Foundation
Oregon,State cigarette excise tax,1.330,$ per 20 pack,2018,,Tax Foundation
Pennsylvania,State cigarette excise tax,2.600,$ per 20 pack,2018,,Tax Foundation
Rhode Island,State cigarette excise tax,4.250,$ per 20 pack,2018,,Tax Foundation
South Carolina,State cigarette excise tax,0.570,$ per 20 pack,2018,,Tax Foundation
South Dakota,State cigarette excise tax,1.530,$ per 20 pack,2018,,Tax Foundation
Tennessee,State cigarette excise tax,0.620,$ per 20 pack,2018,,Tax Foundation
Texas,State cigarette excise tax,1.410,$ per 20 pack,2018,,Tax Foundation
Utah,State cigarette excise tax,1.700,$ per 20 pack,2018,,Tax Foundation
Vermont,State cigarette excise tax,3.080,$ per 20 pack,2018,,Tax Foundation
Virginia,State cigarette excise tax,0.300,$ per 20 pack,2018,,Tax Foundation
Washington,State cigarette excise tax,3.025,$ per 20 pack,2018,,Tax Foundation
West Virginia,State cigarette excise tax,1.200,$ per 20 pack,2018,,Tax Foundation
Wisconsin,State cigarette excise tax,2.520,$ per 20 pack,2018,,Tax Foundation
Wyoming,State cigarette excise tax,0.600,$ per 20 pack,2018,,Tax Foundation
D.C.,State cigarette excise tax,2.500,$ per 20 pack,2018,,Tax Foundation
Alabama,State gasoline tax,20.910,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Alaska,State gasoline tax,14.650,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Arizona,State gasoline tax,19.000,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Arkansas,State gasoline tax,21.800,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
California,State gasoline tax,55.220,cents per gallon,2018,"Gasoline is fully or partially subject to the states general sales tax. Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Colorado,State gasoline tax,22.000,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Connecticut,State gasoline tax,43.800,cents per gallon,2018,"Gasoline is fully or partially subject to the states general sales tax. Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Delaware,State gasoline tax,23.000,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Florida,State gasoline tax,41.360,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Georgia,State gasoline tax,31.590,cents per gallon,2018,"Gasoline is fully or partially subject to the states general sales tax. Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Hawaii,State gasoline tax,47.880,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Idaho,State gasoline tax,33.000,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Illinois,State gasoline tax,37.320,cents per gallon,2018,"Gasoline is fully or partially subject to the states general sales tax. Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Indiana,State gasoline tax,42.900,cents per gallon,2018,"Gasoline is fully or partially subject to the states general sales tax. Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Iowa,State gasoline tax,30.500,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Kansas,State gasoline tax,24.030,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Kentucky,State gasoline tax,26.000,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Louisiana,State gasoline tax,20.010,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Maine,State gasoline tax,30.010,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Maryland,State gasoline tax,35.300,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Massachusetts,State gasoline tax,26.540,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Michigan,State gasoline tax,44.130,cents per gallon,2018,"Gasoline is fully or partially subject to the states general sales tax. Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Minnesota,State gasoline tax,28.600,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Mississippi,State gasoline tax,18.790,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Missouri,State gasoline tax,17.350,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Montana,State gasoline tax,32.250,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
Nebraska,State gasoline tax,28.900,cents per gallon,2018,"Rates may include any of the following: exise taxes, environmental fees, storage tank fees, other fees or taxes, and general sales tax. ",Tax Foundation
